date,time,open,high,low,close,volume
2009.08.04,9:00,1.6936,1.7004,1.693,1.6993,726
2009.08.04,10:00,1.6994,1.6994,1.6912,1.6935,976
2009.08.04,11:00,1.6936,1.6983,1.6911,1.6982,1190
2009.08.04,12:00,1.6981,1.6984,1.6924,1.6942,1116
2009.08.04,13:00,1.6943,1.6959,1.6925,1.6928,666
2009.08.04,14:00,1.6927,1.6952,1.6922,1.6938,813
2009.08.04,15:00,1.6939,1.6968,1.6916,1.6927,1375
2009.08.04,16:00,1.6928,1.6957,1.6915,1.6944,1417
2009.08.04,17:00,1.6945,1.6967,1.6889,1.6902,1366
2009.08.04,18:00,1.6903,1.6957,1.6902,1.6929,988
2009.08.04,19:00,1.693,1.6954,1.6926,1.6952,592
2009.08.04,20:00,1.6953,1.6955,1.6907,1.6912,447
2009.08.04,21:00,1.6913,1.6934,1.6903,1.6919,603
2009.08.04,22:00,1.6918,1.6937,1.6917,1.6935,407
2009.08.04,23:00,1.6936,1.6952,1.6934,1.6939,275
2009.08.05,0:00,1.694,1.6944,1.6927,1.6934,222
2009.08.05,1:00,1.6935,1.6939,1.6927,1.6936,150
2009.08.05,2:00,1.6937,1.6958,1.6937,1.6949,362
2009.08.05,3:00,1.6948,1.695,1.6927,1.6943,334
2009.08.05,4:00,1.6942,1.6951,1.6933,1.694,305
2009.08.05,5:00,1.6939,1.6947,1.6934,1.6944,400
2009.08.05,6:00,1.6945,1.6956,1.694,1.6947,379
2009.08.05,7:00,1.6948,1.695,1.6924,1.6925,335
2009.08.05,8:00,1.6926,1.6928,1.691,1.691,440
2009.08.05,9:00,1.6911,1.6936,1.6902,1.6927,859
2009.08.05,10:00,1.6928,1.6935,1.6906,1.6924,919
2009.08.05,11:00,1.6925,1.7007,1.6917,1.699,1453
2009.08.05,12:00,1.6989,1.6993,1.6967,1.6967,837
2009.08.05,13:00,1.6966,1.7018,1.6961,1.6992,941
2009.08.05,14:00,1.6994,1.7043,1.6994,1.7017,1327
2009.08.05,15:00,1.7016,1.702,1.6986,1.6988,1220
2009.08.05,16:00,1.6987,1.7001,1.6975,1.6983,1404
2009.08.05,17:00,1.6982,1.6982,1.6932,1.6965,1817
2009.08.05,18:00,1.6964,1.6993,1.6957,1.6976,1065
2009.08.05,19:00,1.6975,1.7028,1.6975,1.7017,863
2009.08.05,20:00,1.7018,1.7035,1.7008,1.7028,731
2009.08.05,21:00,1.7029,1.7037,1.7016,1.7019,686
2009.08.05,22:00,1.7018,1.7021,1.6992,1.7,575
2009.08.05,23:00,1.7001,1.7012,1.6983,1.6988,298
2009.08.06,0:00,1.6989,1.6998,1.6982,1.6993,371
2009.08.06,1:00,1.6994,1.7007,1.6986,1.6998,240
2009.08.06,2:00,1.6999,1.7005,1.6985,1.6992,230
2009.08.06,3:00,1.6991,1.6994,1.6983,1.6994,229
2009.08.06,4:00,1.6995,1.7031,1.6995,1.7005,735
2009.08.06,5:00,1.7006,1.7012,1.6967,1.6973,684
2009.08.06,6:00,1.6974,1.6983,1.6958,1.698,404
2009.08.06,7:00,1.6979,1.6993,1.6973,1.6991,279
2009.08.06,8:00,1.6992,1.7003,1.6986,1.6993,307
2009.08.06,9:00,1.6992,1.7014,1.6968,1.6972,609
2009.08.06,10:00,1.6973,1.7009,1.6969,1.6994,817
2009.08.06,11:00,1.6993,1.6997,1.6975,1.6987,732
2009.08.06,12:00,1.6986,1.6994,1.6978,1.6991,634
2009.08.06,13:00,1.6992,1.6999,1.6958,1.6971,1013
2009.08.06,14:00,1.6969,1.6969,1.6825,1.6858,2159
2009.08.06,15:00,1.6857,1.6911,1.6851,1.6863,1379
2009.08.06,16:00,1.6864,1.6874,1.6815,1.683,1352
2009.08.06,17:00,1.6829,1.6833,1.6791,1.6801,1770
2009.08.06,18:00,1.6802,1.6814,1.6761,1.6774,1016
2009.08.06,19:00,1.6773,1.6782,1.6756,1.6774,851
2009.08.06,20:00,1.6775,1.6784,1.6761,1.6762,663
2009.08.06,21:00,1.6761,1.6789,1.6752,1.6774,632
2009.08.06,22:00,1.6775,1.6785,1.677,1.6784,534
2009.08.06,23:00,1.6785,1.6791,1.6779,1.6783,248
2009.08.07,0:00,1.6782,1.6784,1.6764,1.6777,270
2009.08.07,1:00,1.6776,1.6792,1.6773,1.679,206
2009.08.07,2:00,1.6791,1.6808,1.6784,1.6808,236
2009.08.07,3:00,1.6809,1.6811,1.6777,1.6783,305
2009.08.07,4:00,1.6784,1.6802,1.6758,1.6761,495
2009.08.07,5:00,1.6762,1.6771,1.6747,1.6767,338
2009.08.07,6:00,1.6765,1.6775,1.6759,1.6771,370
2009.08.07,7:00,1.6772,1.6789,1.677,1.6779,285
2009.08.07,8:00,1.6778,1.6794,1.6773,1.678,363
2009.08.07,9:00,1.6779,1.6781,1.6747,1.6755,612
2009.08.07,10:00,1.6754,1.676,1.6724,1.6728,870
2009.08.07,11:00,1.6729,1.6751,1.6718,1.6723,933
2009.08.07,12:00,1.6722,1.6756,1.6719,1.6742,416
2009.08.07,13:00,1.6727,1.6749,1.6727,1.6745,245
2009.08.07,14:00,1.6744,1.6751,1.6734,1.6742,515
2009.08.07,15:00,1.6743,1.6835,1.6679,1.6768,2721
2009.08.07,16:00,1.6769,1.6811,1.6733,1.6734,2050
2009.08.07,17:00,1.6733,1.6743,1.6673,1.6678,1606
2009.08.07,18:00,1.6677,1.6716,1.6664,1.6667,1107
2009.08.07,19:00,1.6666,1.6704,1.6652,1.6687,809
2009.08.07,20:00,1.6686,1.6701,1.6679,1.6682,548
2009.08.07,21:00,1.6681,1.6681,1.6658,1.6666,498
2009.08.07,22:00,1.6668,1.6683,1.6665,1.6683,527
2009.08.07,23:00,1.6684,1.6695,1.6673,1.6683,493
2009.08.10,1:00,1.6682,1.6692,1.6681,1.6686,118
2009.08.10,2:00,1.6683,1.6688,1.6672,1.6682,231
2009.08.10,3:00,1.6681,1.6697,1.6681,1.6695,424
2009.08.10,4:00,1.6694,1.6706,1.6688,1.6703,380
2009.08.10,5:00,1.6704,1.6717,1.67,1.6713,452
2009.08.10,6:00,1.6712,1.6716,1.6701,1.6713,380
2009.08.10,7:00,1.6714,1.6718,1.6707,1.6717,346
2009.08.10,8:00,1.6716,1.6718,1.6684,1.6687,401
2009.08.10,9:00,1.6686,1.6692,1.6652,1.6663,889
2009.08.10,10:00,1.6662,1.6671,1.6621,1.6626,1420
2009.08.10,11:00,1.6627,1.6645,1.6611,1.6643,909
2009.08.10,12:00,1.6642,1.6648,1.6633,1.6634,761
2009.08.10,13:00,1.6633,1.6653,1.6628,1.6631,737
2009.08.10,14:00,1.6629,1.6636,1.6613,1.6617,907
2009.08.10,15:00,1.6618,1.6639,1.6583,1.6589,1142
2009.08.10,16:00,1.659,1.6608,1.6555,1.6572,1436
2009.08.10,17:00,1.6571,1.6585,1.6532,1.6534,1261
2009.08.10,18:00,1.6535,1.6538,1.6477,1.6486,1310
2009.08.10,19:00,1.6485,1.6494,1.6446,1.6466,911
2009.08.10,20:00,1.6465,1.6468,1.6431,1.6438,860
2009.08.10,21:00,1.6437,1.6469,1.6433,1.6462,611
2009.08.10,22:00,1.6463,1.6474,1.6456,1.6466,342
2009.08.10,23:00,1.6467,1.6482,1.6461,1.6482,252
2009.08.11,0:00,1.6483,1.6489,1.6471,1.6486,339
2009.08.11,1:00,1.6482,1.6485,1.6472,1.6474,134
2009.08.11,2:00,1.6475,1.648,1.6466,1.6475,176
2009.08.11,3:00,1.6476,1.6521,1.6471,1.6512,380
2009.08.11,4:00,1.6511,1.6522,1.6495,1.6499,314
2009.08.11,5:00,1.65,1.6501,1.6448,1.6474,575
2009.08.11,6:00,1.6473,1.6497,1.6468,1.6488,269
2009.08.11,7:00,1.6487,1.6496,1.6472,1.6475,295
2009.08.11,8:00,1.6476,1.6494,1.6473,1.6484,419
2009.08.11,9:00,1.6483,1.6502,1.6466,1.65,661
2009.08.11,10:00,1.6499,1.6501,1.6443,1.6469,946
2009.08.11,11:00,1.6468,1.6488,1.6457,1.6466,963
2009.08.11,12:00,1.6467,1.6479,1.6434,1.6441,946
2009.08.11,13:00,1.6442,1.6478,1.6432,1.6469,894
2009.08.11,14:00,1.6468,1.6514,1.6462,1.6498,991
2009.08.11,15:00,1.6499,1.6516,1.6472,1.6473,1064
2009.08.11,16:00,1.6472,1.6485,1.6453,1.6485,1244
2009.08.11,17:00,1.6484,1.6509,1.6467,1.6499,1190
2009.08.11,18:00,1.6498,1.6509,1.6481,1.6499,994
2009.08.11,19:00,1.65,1.6511,1.6492,1.6492,553
2009.08.11,20:00,1.6493,1.6504,1.6474,1.6474,530
2009.08.11,21:00,1.6475,1.6492,1.6471,1.6474,452
2009.08.11,22:00,1.6475,1.6485,1.6474,1.6479,308
2009.08.11,23:00,1.6478,1.6484,1.6477,1.6479,240
2009.08.12,0:00,1.6478,1.6488,1.6473,1.6478,204
2009.08.12,1:00,1.6479,1.6493,1.6478,1.6487,226
2009.08.12,2:00,1.6488,1.6489,1.6482,1.6489,178
2009.08.12,3:00,1.649,1.6506,1.6488,1.6495,338
2009.08.12,4:00,1.6494,1.6507,1.649,1.649,226
2009.08.12,5:00,1.6491,1.6495,1.6474,1.6474,429
2009.08.12,6:00,1.6475,1.6493,1.6474,1.6486,344
2009.08.12,7:00,1.6487,1.6501,1.6485,1.6496,346
2009.08.12,8:00,1.6497,1.6498,1.6476,1.6482,355
2009.08.12,9:00,1.6481,1.6486,1.6403,1.6427,1065
2009.08.12,10:00,1.6428,1.6439,1.6392,1.6397,1000
2009.08.12,11:00,1.6426,1.645,1.6423,1.6441,1038
2009.08.12,12:00,1.644,1.6468,1.6409,1.6442,1005
2009.08.12,13:00,1.6441,1.6464,1.6428,1.6456,877
2009.08.12,14:00,1.6457,1.648,1.6432,1.6435,1072
2009.08.12,15:00,1.6434,1.6484,1.6434,1.6463,1004
2009.08.12,16:00,1.6464,1.6506,1.6456,1.6499,992
2009.08.12,17:00,1.65,1.656,1.65,1.6536,1417
2009.08.12,18:00,1.6535,1.6553,1.6505,1.6535,1161
2009.08.12,19:00,1.6534,1.6556,1.6515,1.652,677
2009.08.12,20:00,1.6521,1.6534,1.6515,1.6531,585
2009.08.12,21:00,1.653,1.6555,1.6427,1.6515,1684
2009.08.12,22:00,1.6514,1.6525,1.6502,1.6506,749
2009.08.12,23:00,1.6507,1.6507,1.6471,1.648,446
2009.08.13,0:00,1.6481,1.6496,1.6477,1.6493,321
2009.08.13,1:00,1.6495,1.6508,1.6494,1.6502,208
2009.08.13,2:00,1.6501,1.651,1.65,1.6507,211
2009.08.13,3:00,1.6508,1.6508,1.6489,1.6494,499
2009.08.13,4:00,1.6495,1.651,1.6485,1.649,411
2009.08.13,5:00,1.6489,1.6504,1.6489,1.6499,421
